NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190001293926,2019,3170206,Uberlândia,31,MG,19,M,1,3,1,3164209,São Romão,31,MG,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3170206,Uberlândia,31,MG,1,1,1,1,506,508,512,517,425.8,352.1,479.7,399.7,BEEAABAEDBACDDAADCABCABECEACDDDBAAECDBABBDEDA,AECCBADAEECADDBBBAECCDABCCEBADCAEDCEACAD.CECA,99999CBEAACCCAECAEDCECDCAEAAEBECEAAEADAEBABDCCAAED,CCEBDAACBCDBECABBCDCACEADBDBAABACDBAACEBCCECB,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1,100,40,40,120,0,300,E,E,A,B,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B
190001322424,2019,3122306,Divinópolis,31,MG,18,M,1,1,1,3164209,São Romão,31,MG,2,0,3,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122306,Divinópolis,31,MG,1,1,1,1,505,507,511,518,479.8,559.9,543.5,537.3,ADCBBADBCCBDBCCCABDCCDABDDCDCBCCCCDCDADDABCAD,DCBDDAACAACCBCDEBBCEBECEEEBCBBCBEE*BBDBBEAACB,99999CEABDCCBBECDBDCDADECBDECCEECBCAECAACDCBEDCCEE,CDBBAECDDCAACECDDBBCA*CDDCDEBDDADACACCDEEEDEC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,120,120,120,120,80,560,E,E,C,D,2,K,D,C,D,B,A,B,A,B,A,B,A,B,C,A,A,C,B,B,B
190001323485,2019,3164209,São Romão,31,MG,16,M,1,2,1,3164209,São Romão,31,MG,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,506,510,513,517,373.9,499,494.2,441.8,ADCDACDEAEDCAEEECCABEDAADDDBCEBADBEDACDADDBCC,EEEEAEDDCBDADBCEEEECCBAABBBBEBDCEEDCDADBABDCD,99999DAAECBBCEEECACDCBDEAAAACCBEEBBBEEABAEEEEEDBEE,BBDACBECBCDCAEDCAEEDBDACEBDACEBEDEEBCADEBCCAE,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1,120,140,120,120,120,620,C,E,F,A,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,D,A,A,A
190001630731,2019,3170008,Ubaí,31,MG,19,M,1,0,1,3164209,São Romão,31,MG,2,0,2,1,0,31063461,3170008,Ubaí,31,MG,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,E,A,B,4,C,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,B
190001630831,2019,3106200,Belo Horizonte,31,MG,18,F,1,3,1,3164209,São Romão,31,MG,2,0,2,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106200,Belo Horizonte,31,MG,1,1,1,1,506,510,513,517,424.8,455.4,533.3,498.2,BACBDECDBDECBAEBCEBBCABEADDCEBDBCDBBDAEADECCE,ACACABBECBAEABAEDEDEAECACDBECCDEDBCCBCEEABBCD,99999EABEEBBBAECCABECBDEAAAADCBEDEDCCEEEBECCEDBECE,CDCBCAECDDEACDDAADABCDEBEDCBDAEDCEAAACEBBDCEA,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1,120,120,120,100,140,600,B,B,A,B,7,C,B,C,D,A,A,B,A,A,A,A,A,A,B,A,B,E,A,A,B
190001634961,2019,3143302,Montes Claros,31,MG,20,F,1,3,1,3164209,São Romão,31,MG,1,3,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143302,Montes Claros,31,MG,1,1,1,1,506,507,511,517,537.1,563.8,591.4,560.8,DEBAEAAEEBAADCCBBCACBBBECDAEDDDBAEBCCEDECCCCD,ECEDABAABBECACADEACACABEEEDECAEBAADCBDBBEAEBB,99999DBAABBCBBADDBBCDAAECDDEBCBCBCCDEBDACDBDDEDCDE,ABCBBCEBBBACBDBBABAABDCBBBBCECCEBECCBBBBABDED,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1,120,120,120,160,160,680,C,E,D,B,2,D,A,B,C,A,A,B,B,A,A,A,A,A,A,A,A,C,A,B,B
190001639850,2019,3164209,São Romão,31,MG,17,F,1,3,1,3164209,São Romão,31,MG,2,0,2,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,504,507,511,516,507.5,586,587.6,656,BEAAEDBAECDAEEDADECBBBABCDEBDADCDDACEEBDABCEA,EAECDBABBADCBEADEAECCAECDABCBADBAECCADBDEACEB,99999CBEADDCBAEDDDDBDAAEAEAECBCCECCAEBAACDDEEBDCBE,AECEBEAADABBABCCADCAEDCECBAECBACEAADCEAADEABC,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1,140,120,140,140,160,700,C,E,B,B,5,C,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,C,A,B,B
190001645764,2019,3164209,São Romão,31,MG,19,M,1,3,1,3164209,São Romão,31,MG,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,504,507,511,516,417.2,475.9,510.4,405.3,EACABDCDACBABAEAADCEDBCEDBCABCBDCEADDBECEABAB,CBAACCABABDCABEECCDACACDBABBCBCADAEBCAECABCBA,99999ABEADCBBAAAAAECDDCADBAEDCECCCEACEBADBDDEBCCAE,CBABBBDEEEBCADDEDECACBCBDDCBCACBCBCCDEADBEBDA,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1,120,140,120,120,80,580,D,D,A,A,2,A,A,B,C,A,A,A,B,A,A,A,A,A,B,A,A,C,A,A,A
190001654575,2019,3164209,São Romão,31,MG,17,F,1,3,1,3164209,São Romão,31,MG,2,0,2,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,C,B,B,5,C,A,B,C,B,B,B,A,A,A,A,A,A,B,A,A,C,A,A,A
190001657169,2019,3164209,São Romão,31,MG,18,F,1,3,1,3164209,São Romão,31,MG,2,0,2,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164209,São Romão,31,MG,1,1,1,1,503,509,514,515,499.8,557.8,522.6,472.3,CEDDECEBDACEDCEABDBABDCEABBECDBEEDBCBDAEBCABA,ACBCAAECBBAAABBDEACDABAACEAAEEAABBEACEDBCDACD,99999CBCCBAACBEECDEBBAADAEDEEEE*DAEEADAACCCECCCCAE,DCAEEDCCADCEADCBEABCAEADABCBCACAEBEAABEEABBEA,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1,100,160,80,100,60,500,E,B,A,B,5,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
