NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190001223982,2019,3151206,Pirapora,31,MG,19,F,1,3,1,3106200,Belo Horizonte,31,MG,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,1,1,1,1,503,508,512,515,450.1,486.8,449.2,393.1,CDEEECBDDCCEADBADEBBDEEDEBDEDDBABBDBBEEDABCDD,ABAAECEEAAAEDCAADBEAEDBABBCCEBBADEDECEBCABAEE,99999CBECECBABEEECAAECCCAEABEBDBDBDCEEDAEBECECBCCA,ECBBBEBCBEBBAABBCBCAABBEACBCDCBECDBBAEDADACDC,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1,140,160,120,80,0,500,C,C,B,B,3,B,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,A,B,A
190001224015,2019,3151206,Pirapora,31,MG,19,F,1,3,1,3151206,Pirapora,31,MG,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,E,B,C,5,D,A,B,D,B,A,B,A,A,A,A,A,A,B,B,A,D,A,B,B
190001227575,2019,3151206,Pirapora,31,MG,26,M,1,2,1,3151206,Pirapora,31,MG,1,9,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,E,C,B,3,G,A,B,C,A,B,B,A,B,A,B,A,A,B,A,B,C,B,B,B
190001248599,2019,3126703,Francisco Sá,31,MG,21,F,1,3,1,3126703,Francisco Sá,31,MG,1,3,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126703,Francisco Sá,31,MG,1,1,1,1,504,508,512,516,333.5,441.4,484.9,434.2,EACDBDABDACBEBCACEBCDEDCBCCABDBCADCDCAECEBBEA,ABCBDABECEABEBCBCBEACDDCAEDEABCBDEBACDBDAECBD,DBCDA99999CEBACDECAEBCDACBDBADCACBEAADCBBCBDEACABC,CABECBDCECDEADEBADECDAEACDACBAEBACACEBBDCEBAE,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1,100,120,120,120,80,540,B,A,A,B,6,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
190001259312,2019,3151206,Pirapora,31,MG,18,M,1,3,1,3151206,Pirapora,31,MG,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,1,1,1,1,503,508,512,515,548.6,497.6,481.6,526.9,.EECADD.DDECCBACECDADDAEEBCDCCBAEDBBEDCACBADB,ABAEBBBDCA*BCBDBCDBEEDBCAACAEAAEBBDBDBDBCBCDB,99999CDCDEAECBDEBCBCCDBEDBAABDCDCBDCDEDBECBECDEEBB,*CCBDBACBCCBDDCDCECACDCCBCBCBEBDCBCBBCBDDDDEA,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,6,0,0,0,0,0,0,D,E,D,D,3,C,A,B,D,B,A,B,A,B,A,B,A,A,B,A,A,C,A,B,B
190001263042,2019,3151206,Pirapora,31,MG,29,M,1,3,1,3550308,São Paulo,35,SP,1,11,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,B,F,F,3,D,A,B,C,B,A,B,A,B,A,B,A,A,B,B,A,C,A,B,B
190001263050,2019,3151206,Pirapora,31,MG,24,F,2,2,1,3151206,Pirapora,31,MG,1,7,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,1,1,1,1,503,509,514,515,374.5,531.7,571.3,465,CEECBEAEDBBD*BBADBACDABDEABEDCBCBDABDBBDEDCDB,ACABAACCDBAEABBECACAECCBBCBADBCABDDEAAEBBEEDD,99999CCBDACDCBCABDEBBACDEDBCDEBADAADEBEACDCBDCDECE,ECBACEBBBBCBDBABCBABDECBDCEECBCCABCDBCDCDCCDA,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1,160,120,140,180,100,700,E,G,D,D,2,D,A,B,B,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
190001270063,2019,3151206,Pirapora,31,MG,17,M,1,1,1,3151206,Pirapora,31,MG,2,0,2,1,0,31081892,3151206,Pirapora,31,MG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,1,1,1,1,504,507,511,516,511.8,467.1,571.8,534.3,CECAEDBADDBBEDBACBCEEABDDBBBCBBDECDECDADDCCDB,EECCCAAECBCEEBDEBDCAEECCBABEACCCDAABEABDEBCDD,99999EBAADCEBBBDDBCEDAAEEDEAEDCCCCCDEADAADEDBCCCEE,EBAEBBCADBCCACCDCDEDCDDCDCCEBBDCECDECEDABBADB,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1,100,120,120,80,80,500,F,H,E,F,3,B,A,B,D,A,A,B,B,B,A,B,A,A,B,A,A,D,A,A,B
190001273848,2019,3151206,Pirapora,31,MG,18,F,1,3,1,3151206,Pirapora,31,MG,2,0,3,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,1,1,1,1,503,509,514,515,611.3,576.7,621.2,680.3,ABECBCDEADCACDDCBEDABDCCAEBDCBBCBDBEAECDABADC,DCEBEEDCCBAEACEDECEDBBEDCCCDDC*BADDAAEDBADADD,EBBAD99999BACEBAADECDAADDDBCDEDBDBADBCCAACCBCCABCD,EDEADCEBABCABBECDACCBDEBBADDDBDCDABEACBEBDCAA,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1,160,180,200,160,160,860,C,E,B,C,7,E,A,B,D,B,A,B,A,B,A,A,A,A,B,B,A,C,A,A,B
190001277634,2019,3151206,Pirapora,31,MG,19,F,1,2,1,3151206,Pirapora,31,MG,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151206,Pirapora,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,F,E,C,B,4,E,A,C,C,A,A,B,B,A,A,A,A,A,B,A,A,C,B,A,B
